pregunta;descripcionpregunta;valorpregunta;descripcionvalorpregunta
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68575;PUERTO WILCHES
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68615;RIONEGRO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68655;SABANA DE TORRES
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68669;SAN ANDRES
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68673;SAN BENITO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68679;SAN GIL
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68682;SAN JOAQUIN
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68684;SAN JOSE DE MIRANDA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68686;SAN MIGUEL
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68689;SAN VICENTE DE CHUCURI
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68705;SANTA BARBARA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68720;SANTA HELENA DEL OPON
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68745;SIMACOTA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68755;SOCORRO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68770;SUAITA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68773;SUCRE
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68780;SURATA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68820;TONA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68855;VALLE DE SAN JOSÉ
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68861;VELEZ
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68867;VETAS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68872;VILLANUEVA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;68895;ZAPATOCA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70001;SINCELEJO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70110;BUENAVISTA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70124;CAIMITO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70204;COLOSO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70215;COROZAL
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70221;COVEÑAS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70230;CHALAN
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70233;EL ROBLE
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70235;GALERAS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70265;GUARANDA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70400;LA UNION
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70418;LOS PALMITOS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70429;MAJAGUAL
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70473;MORROA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70508;OVEJAS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70523;PALMITO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70670;SAMPUES
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70678;SAN BENITO ABAD
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70702;SAN JUAN DE BETULIA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70708;SAN MARCOS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70713;SAN ONOFRE
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70717;SAN PEDRO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70742;SINCE
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70771;SUCRE
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70820;SANTIAGO DE TOLÚ
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;70823;TOLÚ VIEJO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73001;IBAGUE
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73024;ALPUJARRA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73026;ALVARADO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73030;AMBALEMA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73043;ANZOATEGUI
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73055;ARMERO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73067;ATACO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73124;CAJAMARCA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73148;CARMEN DE APICALÁ
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73152;CASABIANCA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73168;CHAPARRAL
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73200;COELLO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73217;COYAIMA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73226;CUNDAY
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73236;DOLORES
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73268;ESPINAL
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73270;FALAN
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73275;FLANDES
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73283;FRESNO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73319;GUAMO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73347;HERVEO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73349;HONDA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73352;ICONONZO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73408;LERIDA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73411;LIBANO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73443;MARIQUITA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73449;MELGAR
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73461;MURILLO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73483;NATAGAIMA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73504;ORTEGA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73520;PALOCABILDO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73547;PIEDRAS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73555;PLANADAS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73563;PRADO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73585;PURIFICACION
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73616;RIOBLANCO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73622;RONCESVALLES
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73624;ROVIRA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73671;SALDAÑA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73675;SAN ANTONIO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73678;SAN LUIS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73686;SANTA ISABEL
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73770;SUAREZ
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;73861;VENADILLO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76001;CALI
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76020;ALCALÁ
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76041;ANDALUCÍA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76054;ARGELIA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76100;BOLIVAR
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76109;BUENAVENTURA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76111;GUADALAJARA DE BUGA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76122;CAICEDONIA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76147;CARTAGO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76233;DAGUA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76243;EL ÁGUILA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76246;EL CAIRO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76248;EL CERRITO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76250;EL DOVIO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76306;GINEBRA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76364;JAMUNDÍ
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76520;PALMIRA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76616;RIOFRÍO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76622;DOLDANILLO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76736;SEVILLA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76828;TRUJILLO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76834;TULUÁ
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;76863;VERSALLES
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;81001;ARAUCA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;81736;SARAVENA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;81794;TAME
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;85001;YOPAL
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;86001;MOCOA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;86320;ORITO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;86568;PUERTO ASÍS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;86573;LEGUÍZAMO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;86749;SIBUNDOY
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;86755;SAN FRANCISCO
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;88001;SAN ANDRÉS
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;88564;PROVIDENCIA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;91001;LETICIA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;91536;PUERTO ARICA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;94001;INÍRIDA
P_29;¿En qué municipio y departamento vivía inmediatamente antes de trasladarse a vivir en ESTE MUNICIPIO? Municipio;95001;SAN JOSÉ DEL GUAVIARE
P_30;¿Cuánto hace que vive en ESTE BARRIO o VEREDA? En años;-99;No responde
P_30;¿Cuánto hace que vive en ESTE BARRIO o VEREDA? En años;-98;No sabe
P_31;¿En qué barrio o vereda vivía antes?;-99;No responde
P_31;¿En qué barrio o vereda vivía antes?;-98;No sabe
P_31;¿En qué barrio o vereda vivía antes?;-88;No aplica
P_31;¿En qué barrio o vereda vivía antes?;0101;SANTO DOMINGO SABIO Nº 1
P_31;¿En qué barrio o vereda vivía antes?;0102;SANTO DOMINGO SABIO Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0103;POPULAR
P_31;¿En qué barrio o vereda vivía antes?;0104;GRANIZAL
P_31;¿En qué barrio o vereda vivía antes?;0105;MOSCÚ Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0106;VILLA GUADALUPE
P_31;¿En qué barrio o vereda vivía antes?;0107;SAN PABLO
P_31;¿En qué barrio o vereda vivía antes?;0108;EL COMPROMISO
P_31;¿En qué barrio o vereda vivía antes?;0109;ALDEA PABLO VI
P_31;¿En qué barrio o vereda vivía antes?;0110;LA ESPERANZA Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0111;LA AVANZADA
P_31;¿En qué barrio o vereda vivía antes?;0112;CARPINELO
P_31;¿En qué barrio o vereda vivía antes?;0201;LA ISLA
P_31;¿En qué barrio o vereda vivía antes?;0202;EL PLAYÓN DE LOS COMUNEROS
P_31;¿En qué barrio o vereda vivía antes?;0203;PABLO VI
P_31;¿En qué barrio o vereda vivía antes?;0204;LA FRONTERA
P_31;¿En qué barrio o vereda vivía antes?;0205;LA FRANCIA
P_31;¿En qué barrio o vereda vivía antes?;0206;ANDALUCÍA
P_31;¿En qué barrio o vereda vivía antes?;0207;VILLA DEL SOCORRO
P_31;¿En qué barrio o vereda vivía antes?;0208;VILLA NIZA
P_31;¿En qué barrio o vereda vivía antes?;0209;MOSCÚ Nº 1
P_31;¿En qué barrio o vereda vivía antes?;0210;SANTA CRUZ
P_31;¿En qué barrio o vereda vivía antes?;0211;LA ROSA
P_31;¿En qué barrio o vereda vivía antes?;0301;LA SALLE
P_31;¿En qué barrio o vereda vivía antes?;0302;LAS GRANJAS
P_31;¿En qué barrio o vereda vivía antes?;0303;CAMPO VALDÉS Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0304;SANTA INÉS
P_31;¿En qué barrio o vereda vivía antes?;0305;EL RAIZAL
P_31;¿En qué barrio o vereda vivía antes?;0306;EL POMAR
P_31;¿En qué barrio o vereda vivía antes?;0307;MANRIQUE CENTRAL Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0308;MANRIQUE ORIENTAL
P_31;¿En qué barrio o vereda vivía antes?;0309;VERSALLES Nº 1
P_31;¿En qué barrio o vereda vivía antes?;0310;VERSALLES Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0311;LA CRUZ
P_31;¿En qué barrio o vereda vivía antes?;0312;ORIENTE
P_31;¿En qué barrio o vereda vivía antes?;0313;MARÍA CANO-CARAMBOLAS
P_31;¿En qué barrio o vereda vivía antes?;0314;SAN JOSÉ LA CIMA Nº 1
P_31;¿En qué barrio o vereda vivía antes?;0315;SAN JOSÉ LA CIMA Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0401;BERLÍN
P_31;¿En qué barrio o vereda vivía antes?;0402;SAN ISIDRO
P_31;¿En qué barrio o vereda vivía antes?;0403;PALERMO
P_31;¿En qué barrio o vereda vivía antes?;0404;BERMEJAL-LOS ÁLAMOS
P_31;¿En qué barrio o vereda vivía antes?;0405;MORAVIA
P_31;¿En qué barrio o vereda vivía antes?;0407;SEVILLA
P_31;¿En qué barrio o vereda vivía antes?;0408;SAN PEDRO
P_31;¿En qué barrio o vereda vivía antes?;0409;MANRIQUE CENTRAL Nº 1
P_31;¿En qué barrio o vereda vivía antes?;0410;CAMPO VALDÉS Nº 1
P_31;¿En qué barrio o vereda vivía antes?;0411;LAS ESMERALDAS
P_31;¿En qué barrio o vereda vivía antes?;0412;LA PIÑUELA
P_31;¿En qué barrio o vereda vivía antes?;0413;ARANJUEZ
P_31;¿En qué barrio o vereda vivía antes?;0414;BRASILIA
P_31;¿En qué barrio o vereda vivía antes?;0415;MIRANDA
P_31;¿En qué barrio o vereda vivía antes?;0501;TOSCANA
P_31;¿En qué barrio o vereda vivía antes?;0502;LAS BRISAS
P_31;¿En qué barrio o vereda vivía antes?;0503;FLORENCIA
P_31;¿En qué barrio o vereda vivía antes?;0504;TEJELO
P_31;¿En qué barrio o vereda vivía antes?;0505;BOYACÁ
P_31;¿En qué barrio o vereda vivía antes?;0507;HÉCTOR ABAD GÓMEZ
P_31;¿En qué barrio o vereda vivía antes?;0508;BELALCÁZAR
P_31;¿En qué barrio o vereda vivía antes?;0509;GIRARDOT
P_31;¿En qué barrio o vereda vivía antes?;0510;TRICENTENARIO
P_31;¿En qué barrio o vereda vivía antes?;0511;CASTILLA
P_31;¿En qué barrio o vereda vivía antes?;0513;FRANCISCO ANTONIO ZEA
P_31;¿En qué barrio o vereda vivía antes?;0514;ALFONSO LÓPEZ
P_31;¿En qué barrio o vereda vivía antes?;0517;CARIBE
P_31;¿En qué barrio o vereda vivía antes?;0519;EL PROGRESO
P_31;¿En qué barrio o vereda vivía antes?;0601;SANTANDER
P_31;¿En qué barrio o vereda vivía antes?;0602;DOCE DE OCTUBRE Nº 1
P_31;¿En qué barrio o vereda vivía antes?;0603;DOCE DE OCTUBRE Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0604;PEDREGAL
P_31;¿En qué barrio o vereda vivía antes?;0605;LA ESPERANZA
P_31;¿En qué barrio o vereda vivía antes?;0606;SAN MARTÍN DE PORRES
P_31;¿En qué barrio o vereda vivía antes?;0607;KENNEDY
P_31;¿En qué barrio o vereda vivía antes?;0608;PICACHO
P_31;¿En qué barrio o vereda vivía antes?;0609;PICACHITO
P_31;¿En qué barrio o vereda vivía antes?;0610;MIRADOR DEL DOCE
P_31;¿En qué barrio o vereda vivía antes?;0611;PROGRESO  Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0612;EL TRIUNFO
P_31;¿En qué barrio o vereda vivía antes?;0702;CERRO EL VOLADOR
P_31;¿En qué barrio o vereda vivía antes?;0703;SAN GERMÁN
P_31;¿En qué barrio o vereda vivía antes?;0705;FACULTAD DE MINAS UNIVERSIDAD NACIONAL
P_31;¿En qué barrio o vereda vivía antes?;0706;LA PILARICA
P_31;¿En qué barrio o vereda vivía antes?;0707;BOSQUES DE SAN PABLO
P_31;¿En qué barrio o vereda vivía antes?;0708;ALTAMIRA
P_31;¿En qué barrio o vereda vivía antes?;0709;CÓRDOBA
P_31;¿En qué barrio o vereda vivía antes?;0710;LÓPEZ DE  MESA
P_31;¿En qué barrio o vereda vivía antes?;0711;EL DIAMANTE
P_31;¿En qué barrio o vereda vivía antes?;0712;AURES Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0713;AURES Nº 1
P_31;¿En qué barrio o vereda vivía antes?;0714;BELLO HORIZONTE
P_31;¿En qué barrio o vereda vivía antes?;0715;VILLA FLORA
P_31;¿En qué barrio o vereda vivía antes?;0716;PALENQUE
P_31;¿En qué barrio o vereda vivía antes?;0717;ROBLEDO
P_31;¿En qué barrio o vereda vivía antes?;0718;CUCARACHO
P_31;¿En qué barrio o vereda vivía antes?;0719;FUENTE CLARA
P_31;¿En qué barrio o vereda vivía antes?;0720;SANTA MARGARITA
P_31;¿En qué barrio o vereda vivía antes?;0722;OLAYA HERRERA
P_31;¿En qué barrio o vereda vivía antes?;0723;PAJARITO
P_31;¿En qué barrio o vereda vivía antes?;0724;MONTECLARO
P_31;¿En qué barrio o vereda vivía antes?;0725;NUEVA VILLA DE LA IGUANÁ
P_31;¿En qué barrio o vereda vivía antes?;0801;VILLA HERMOSA
P_31;¿En qué barrio o vereda vivía antes?;0802;LA MANSIÓN
P_31;¿En qué barrio o vereda vivía antes?;0803;SAN MIGUEL
P_31;¿En qué barrio o vereda vivía antes?;0804;LA LADERA
P_31;¿En qué barrio o vereda vivía antes?;0805;BATALLÓN GIRARDOT
P_31;¿En qué barrio o vereda vivía antes?;0806;LLANADITAS
P_31;¿En qué barrio o vereda vivía antes?;0807;LOS MANGOS
P_31;¿En qué barrio o vereda vivía antes?;0808;ENCISO
P_31;¿En qué barrio o vereda vivía antes?;0809;SUCRE
P_31;¿En qué barrio o vereda vivía antes?;0810;EL PINAL
P_31;¿En qué barrio o vereda vivía antes?;0811;TRECE DE NOVIEMBRE
P_31;¿En qué barrio o vereda vivía antes?;0812;LA LIBERTAD
P_31;¿En qué barrio o vereda vivía antes?;0813;VILLATINA
P_31;¿En qué barrio o vereda vivía antes?;0814;SAN ANTONIO
P_31;¿En qué barrio o vereda vivía antes?;0815;LAS ESTANCIAS
P_31;¿En qué barrio o vereda vivía antes?;0816;VILLA TURBAY
P_31;¿En qué barrio o vereda vivía antes?;0817;LA SIERRA
P_31;¿En qué barrio o vereda vivía antes?;0819;VILLA LILLIAM
P_31;¿En qué barrio o vereda vivía antes?;0901;JUAN PABLO II
P_31;¿En qué barrio o vereda vivía antes?;0902;BARRIOS DE JESÚS
P_31;¿En qué barrio o vereda vivía antes?;0903;BOMBONÁ Nº 2
P_31;¿En qué barrio o vereda vivía antes?;0904;LOS CERROS EL VERGEL
P_31;¿En qué barrio o vereda vivía antes?;0905;ALEJANDRO ECHAVARRÍA
P_31;¿En qué barrio o vereda vivía antes?;0906;BARRIO CAICEDO
P_31;¿En qué barrio o vereda vivía antes?;0907;BUENOS AIRES
P_31;¿En qué barrio o vereda vivía antes?;0908;MIRAFLORES
P_31;¿En qué barrio o vereda vivía antes?;0909;CATALUÑA
P_31;¿En qué barrio o vereda vivía antes?;0910;LA MILAGROSA
P_31;¿En qué barrio o vereda vivía antes?;0911;GERONA
P_31;¿En qué barrio o vereda vivía antes?;0912;EL SALVADOR
P_31;¿En qué barrio o vereda vivía antes?;0913;LORETO
P_31;¿En qué barrio o vereda vivía antes?;0914;LA ASOMADERA Nº 1
